"","DATE_hour_week","slope_Temp","slope_Irrad","intercept","minimum"
"1",0,-1.4178058612181,-0.496324484692441,26.9314156439824,5.36049939735927
"2",1,-1.71146775739066,-1.45085797578422,27.7376919259723,1.67117581712097
"3",2,-1.84957911074162,-1.68112672865391,30.7266426831484,4.42203277349472
"4",3,-1.66180584735203,-0.485607807963643,29.6785257064756,2.82932121515719
"5",4,-1.89304758147094,-0.466188212601333,28.2214973386881,4.15126084817904
"6",5,-1.94026295001931,-0.124406772992861,29.8447206669965,3.82381123535353
"7",6,-1.6939045637846,-0.0355305820703506,29.4418400973082,2.96915811300278
"8",7,-2.19910256302417,-0.0381177601595404,38.6259415861275,2.80297979378188
"9",8,-2.08146849274635,-0.0320085287094116,46.1579058915377,5.19242499768734
"10",9,-1.99655283788621,-0.023452295620091,44.2921709157499,2.98038114820551
"11",10,-1.79869348249888,-0.0278544690570426,47.6148995754422,3.532040778534
"12",11,-1.87661218271148,-0.0185870596949032,42.7493241577825,8.49695811603049
"13",12,-1.67545525729656,-0.0116999596357346,40.7165814042091,4.78436236083508
"14",13,-1.6306849192062,-0.0163813488589851,41.5859157234264,8.49145217275147
"15",14,-2.03005027770996,-0.0172184556722641,41.195889338851,0.915192663669586
"16",15,-1.6939837415899,-0.00917344625559327,40.1689310010191,4.67889298751723
"17",16,-1.85161211755944,-0.0943654207877364,40.9566238175719,8.13727034894585
"18",17,-1.91308745741844,-0.0491073429584503,43.1239920854568,2.38255482912064
"19",18,-1.94950759779133,-0.091994528455292,40.1913876197326,2.29393509717697
"20",19,-2.02687582908391,-0.367282264819066,42.91074426287,7.63925890930283
"21",20,-2.23142374042495,-1.35936768868879,41.9136919243043,6.82522694008797
"22",21,-2.26756739616394,-1.48332750797272,44.4402464777231,5.42296451330185
"23",22,-2.13289029318428,-1.44647221525077,35.560940642443,7.88484745770401
"24",23,-2.11740895916676,-0.603928336301305,36.910739800788,1.47687055319707
"25",24,-2.22102834428657,-1.64457749523172,38.0398433295705,1.78512699914182
"26",25,-2.10309156993901,-1.13376671132907,34.8192302987484,4.77520086008917
"27",26,-2.12761861020811,-0.343351236628799,34.7058374112821,8.331068533518
"28",27,-2.01404821026071,-1.16652795773754,36.1857271789033,8.17690120817207
"29",28,-2.033153010812,-0.403902562845534,35.9882043571095,5.59590707569738
"30",29,-2.05139283762043,-0.0925668720909691,35.313716306272,2.24362250067051
"31",30,-2.34283128974389,-0.0306569055341394,35.8634379217815,1.90975825592574
"32",31,-2.49271926866092,-0.0426934305494883,51.7543350746589,2.81799189143704
